Var1,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth_cm_Top,VCOS
6348,25,1.46,1.3,3.5,25.3,0.73,3.8,0.5,65.6,8,0
8603,0.78,1.42,4.1,20.2,12.8,1.14,3.2,2.2,57.4,0,0.1
7643,42.1,1.56,2,13,10.2,0.14,1.1,0.8,72.9,94,0
1833,0.39,1.56,17.4,42.4,2.6,0.07,8,0.6,29,178,0
10773,0.17,1.44,30.1,9,14.8,0.82,11.7,1.1,33.2,18,0.1
18385,36.8,1.4,3.6,1.4,8.6,1.46,1.7,0.4,84.2,91,0
2939,22.05,1.4,0.6,8.1,7.1,0.65,3.4,0.7,80.1,15,0
6046,29.7,1.65,0.8,2.8,44.3,0.14,2.3,7.1,42.6,18,0.1
4926,0.12,1.75,17.7,2.9,7.6,0.02,1.3,0.5,70,150,0
17954,38.1,1.28,1.8,18.8,2.8,4.54,7.3,0.1,69.2,0,0
15674,7.56,1.49,3.5,14,13.9,4.3,4.6,0.7,63.3,0,0
17317,11.3,1.46,3.6,22,3.2,0.77,6.1,0.2,64.9,0,0
13390,11.2,1.65,0.6,12.1,26.1,0.16,5.4,6.9,48.7,15,0.2
8634,197,1.37,1.6,1.4,70.5,0.4,4.8,6.5,15.1,10,0.1
5166,51.6,1.39,2.7,5.5,19.7,0.84,7.9,24.8,32.5,0,6.9
6313,13.5,1.38,2.6,7.4,6.5,0.97,2.5,1.7,79.1,33,0.2
5622,42.17,1.5,8.1,13,21.8,3.05,5.1,1.8,50.2,0,0
5977,5.42,1.52,6.2,11.9,24.2,1.66,5.3,7.3,44.7,48,0.4
15061,50,1.38,1.6,2.3,5.8,0.42,2.6,0.3,87.4,76,0
2455,24.1,1.6,0.7,11.2,20.6,0.19,3.6,1.2,62.7,23,0
4697,13.2,1.69,0.9,15.8,20.5,0.36,6.9,4.8,50.7,46,0.4
2782,6.69,1.67,2.5,5.9,30.3,0.14,1.5,4.7,55,53,0.1
6433,23.3,1.58,0.6,6.8,15.3,0.03,1.2,0.7,75.4,89,0
